Nr;Datum;Hiragana;Katakana;Kanji;Romaji;Deutsch;Typ;Update
0;2019-02-21;りや;リャ;;;rya;Buchstabe;2019-07-07
0;2019-02-21;りゆ;リュ;;;ryu;Buchstabe;2019-07-07
0;2019-02-21;りよ;リョ;;;ryo;Buchstabe;2019-07-07
0;2019-02-21;ぎや;ギャ;;;gya;Buchstabe;2019-07-07
0;2019-02-21;ぎゆ;ギュ;;;gyu;Buchstabe;2019-07-07
0;2019-02-21;ぎよ;ギョ;;;gyo;Buchstabe;2019-07-07
0;2019-02-21;じや;ジャ;;;zya;Buchstabe;2019-07-07
0;2019-02-21;じゆ;ジュ;;;zyu;Buchstabe;2019-07-07
0;2019-02-21;じよ;ジョ;;;zyo;Buchstabe;2019-07-07
0;2019-02-21;ぢゃ;ヂャ;;;dya;Buchstabe;2019-07-07
0;2019-02-21;ぢゅ;ヂュ;;;dyu;Buchstabe;2019-07-07
0;2019-02-21;ぢょ;ヂョ;;;dyo;Buchstabe;2019-07-07
0;2019-02-21;びや;ビャ;;;bya;Buchstabe;2019-07-07
0;2019-02-21;びゆ;ビュ;;;byu;Buchstabe;2019-07-07
0;2019-02-21;びよ;ビョ;;;byo;Buchstabe;2019-07-07
0;2019-02-21;ぴや;ピャ;;;pya;Buchstabe;2019-07-07
0;2019-02-21;ぴゆ;ピュ;;;pyu;Buchstabe;2019-07-07
0;2019-02-21;ぴよ;ピョ;;;pyo;Buchstabe;2019-07-07
1;2019-02-21;あい;;;ai;Liebe;Substantiv;
1;2019-02-21;いえ;;;ie;Haus;Substantiv;
1;2019-02-21;うえ;;;ue;oben;Adverb;
1;2019-02-21;あお;;;au;blau;Adjektiv;
1;2019-02-21;はい;;;hai;ja;Antwortpartikel;
1;2019-02-21;いいえ;;;iie;nein;Antwortpartikel;
1;2019-02-21;じゅぎうょ;;;jyugyou;Unterricht;Substantiv;
1;2019-02-21;にほんごのもじ;;;nihongo no moji;Japanische Buchstaben;Substantiv;
1;2019-02-21;おたのしみ;;;otanosimi;Vergnügen;Substantiv;
1;2019-02-21;せんせい;;;senssei;Lehrer(in);Substantiv;
1;2019-02-21;せいと;;;seito;Schüler(in);Substantiv;
1;2019-02-21;あいさつ ;;;aisatsu;Grüße;Substantiv;
1;2019-02-21;はじめまして;;;hajimemashite;Darf ich mich vorstellen?;Satz;
1;2019-02-21;（わたしわ、）☐ です。;;;(watashiwa,) ☐ desu;Ich heiße ☐.;Satz;
1;2019-02-21;（どうぞ）よろしく （おねがいします）。;;（どうぞ）よろしく （お願いします）。;(douzo) yoroshiku (onegaishimasu);Es freut mich, Sie kennen zu lernen! Angenehm! / Sehr efreut!;Satz;2019-06-30
1;2019-02-21;これから、じゅぎうょうをはじめましよう。;;;korekara, jyugyou o hajimemasyou;Sollen wir mit dem Unterricht anfangen?;Satz;
1;2019-02-21;みなさん、おちやをのみましようか。;;;minasann, ochya o nomimasyouka;Lasst uns Tee trinken.;Satz;2019-03-23
1;2019-02-21;おちや;;茶;ochya;Tee;Substantiv;
1;2019-02-21;はい、そうですね。;;;hai, soudesune;Ja, gerne!;Satz;
1;2019-02-21;そうですね;;;soudesune;gerne;Adverb;
1;2019-02-21;きようは、これでおわりです。;;;kyouwa, kore de owaridesu;Für heute sind wir fertig.;Satz;
1;2019-02-21;ありがとう　ございました;;;arigatou gozaimashita;Vielen Dank.;Satz;
1;2019-02-21;さようなら;;;sayounara;Auf wiedersehen.;Satz;
1;2019-02-21;かき;;;kaki;Kaki;Substantiv;
1;2019-02-21;き;;;ki;Baum;Substantiv;
1;2019-02-21;かく;;;kaku;schreiben;Verb;
1;2019-02-21;け;;;ke;Haar;Substantiv;
1;2019-02-21;こ（ども）;;;ko (domo);Kind;Substantiv;
2;2019-02-28;;メモ;;memo;Memorandum;Substantiv;
2;2019-02-28;わたしば、あなたをあいしています。;;;watashiwa anata o aisiteimasu;Ich liebe dich.;Satz;
2;2019-02-28;わかりましたか。;;;wakarimashitaka;Haben Sie mich verstanden?;Satz;
3;2019-03-14;すばらしい;;;subarashii;wunderbar;Adjektiv;2019-06-20
3;2019-03-14;おはようございます;;;ohayougozaimasu;Guten Morgen!;Satz;
3;2019-03-14;こんにちは;;;konnichiwa;Guten Tag!;Satz;
3;2019-03-14;こんばんは;;;konnbannwa;Guten Abend!;Satz;
3;2019-03-14;;テスト;;tesuto;Test;Substantiv;
3;2019-03-14;いち;;一;ichi;1;Zahl;
3;2019-03-14;に;;二;ni;2;Zahl;
3;2019-03-14;さん;;三;sann;3;Zahl;
3;2019-03-14;よん　（し）;;四;yonn (shi);4;Zahl;
3;2019-03-14;ご;;五;go;5;Zahl;
3;2019-03-14;ろく;;六;roku;6;Zahl;
3;2019-03-14;しち　（なな）;;七;shichi (nana);7;Zahl;
3;2019-03-14;はち;;八;hachi;8;Zahl;
3;2019-03-14;きゅう;;九;kyuu;9;Zahl;
3;2019-03-14;じゅう;;十;jyuu;10;Zahl;
3;2019-03-14;おいしいですか。;;;oishiidesuka;Schmeckt es?;Satz;
3;2019-03-14;はい、（とても）おいしいです。;;;hai, (totemo) oishii desu;Ja, es schmeckt (sehr) gut.;Satz;
3;2019-03-14;いいえ、おいしくありません。;;;iee, oishiku arimasenn;Nein, es schmeckt nicht gut.;Satz;
3;2019-03-14;じこしようかい;;;jikosoukai;Selbsteinführung;Substantiv;
3;2019-03-14;（わたしわ、）☐ にすんでいます。;;;(watashiwa,) ☐ ni sunndeimasu;Ich wohne in ☐.;Satz;
3;2019-03-14;うた;;;uta;Gesang;Substantiv;
3;2019-03-14;あさあ;;;asa;Morgen;Substantiv;
3;2019-03-14;（お）かし;;;(o)kashi;Süßigkeiten;Substantiv;
3;2019-03-14;（お）すし;;寿司;(o)sushi;Sushi;Substantiv;2019-03-28
3;2019-03-14;せかい;;;sekai;Welt;Substantiv;
3;2019-03-14;あそこ;;;asoko;dort drüben;Adverb;
3;2019-03-14;そこ;;;soko;dort;Adverb;
3;2019-03-14;ここ;;;koko;hier;Adverb;
4;2019-03-21;じゅういち;;十一;jyuuichi;11;Zahl;
4;2019-03-21;じゅうに;;十二;jyuuni;12;Zahl;
4;2019-03-21;じゅうさん;;十三;jyuusann;13;Zahl;
4;2019-03-21;じゅうよん　（じゅうし）;;十四;jyuuyonn (jyuushi);14;Zahl;
4;2019-03-21;じゅうご;;十五;jyuugo;15;Zahl;
4;2019-03-21;じゅうろく;;十六;jyuuroku;16;Zahl;
4;2019-03-21;じゅうしち　（じゅうなな）;;十七;jyuushichi (jyuunana);17;Zahl;
4;2019-03-21;じゅうはち;;十八;jyuuhachi;18;Zahl;
4;2019-03-21;じゅうきゅう;;十九;jyuukyuu;19;Zahl;
4;2019-03-21;にじゅう;;二十;nijyuu;20;Zahl;
