number;kana;kanji;pos;english;hiragana;katakana;level
615;むいか;六日;名;six days / the sixth day (of the month);むいか;;N5
616;むこう;向こう;名;beyond / over there / opposite direction / the other party;むこう;;N5
617;むずかしい;難しい;形;difficult;むずかしい;;N5
618;むっつ;六つ;名;six;むっつ;;N5
619;め;目;名;eye;め;;N5
620;メートル;;名;meter;;;N5
621;めがね;眼鏡;名;glasses;めがね;;N5
622;もう （もう、帰りました）;;;already / soon / more / again;;;N5
623;もう （もう一度）;;;already / soon / more / again;;;N5
624;もくようび;木曜日;名;thursday;もくようび;;N5
625;もしもし;;感;hello (on phone);もしもし;;N5
626;もちろん;;;of course / certainly / naturally;もちろん;;N5
627;もつ;持つ;動I;(1) to hold / to carry (2) to possess;もつ;;N5
628;もっと;;;more / longer / farther;もっと;;N5
629;もの;物;名;thing / object;もの;;N5
630;もん;門;名;gate;もん;;N5
631;もんだい;問題;名;problem / question;もんだい;;N5
632;~や;~屋;尾;~store;;;N5
633;やおや;八百屋;名;greengrocer;やおや;;N5
634;やさい;野菜;名;vegetable;やさい;;N5
635;やさしい;易しい;形;easy / plain / simple;やさしい;;N5
636;やすい;安い;形;cheap / inexpensive / peaceful / quiet / gossipy / thoughtless;やすい;;N5
637;やすみ;休み;名;(1) rest / recess / respite / (2) vacation / holiday / absence / suspension / (3) moulting;やすみ;;N5
638;やすむ;休む;;to rest / to have a break / to take a day off / to be finished / to be absent / to retire / to sleep;やすむ;;N5
639;やっつ;八つ;名;eight;やっつ;;N5
640;やま;山;名;(1) mountain / (2) pile / heap / (3) climax / critical point;やま;;N5
641;やる （仕事をやる）;;動I;to do / to have sexual intercourse / to kill / to give (to inferiors, animals, etc.) / to dispatch (a letter) / to send / to study / to perform / to play (sports, game) / to have (eat, drink, smoke) / to row (a boat) / to run or operate (a restaurant);;;N5
642;ゆうがた;夕方;;evening;ゆうがた;;N5
643;ゆうびんきょく;郵便局;名;post office;ゆうびんきょく;;N5
644;ゆうべ （’昨晩’の意）;;;evening;;;N5
645;ゆうめい;有名;名;fame;ゆうめい;;N5
646;ゆき;雪;名;snow;ゆき;;N5
647;ゆっくり;;;slowly, at ease;ゆっくり;;N5
648;ようか;八日;名;eight days / the eighth (day of the month);ようか;;N5
649;ようふく;洋服;名;Western-style clothes;ようふく;;N5
650;よく （よく行く）;;;frequently, often;;;N5
651;よく （よくできる）;;;nice / properly / well / skilled in;;;N5
652;よこ;横;;beside / side / width;よこ;;N5
653;よっか;四日;名;four days / the fourth (day of the month);よっか;;N5
654;よっつ;四つ;名;four;よっつ;;N5
655;よぶ;呼ぶ;動I;to call out / to invite;よぶ;;N5
656;よむ;読む;動I;to read;よむ;;N5
657;よる;夜;名;evening / night;よる;;N5
658;らいげつ;来月;名;next month;らいげつ;;N5
659;らいしゅう;来週;名;next week;らいしゅう;;N5
660;らいねん;来年;名;next year;らいねん;;N5
661;ラジオ;;名;radio;;ラジオ;N5
662;りっぱ;;形;splendid / fine / handsome / elegant / imposing / prominent / legal / legitimate;りっぱ;;N5
663;りゅうがくせい;留学生;名;overseas student;りゅうがくせい;;N5
664;りょうしん;両親;名;parents / both parents;りょうしん;;N5
665;りょうり;料理;名;cooking / cookery / cuisine;りょうり;;N5
666;りょこう;旅行;名;travel / trip;りょこう;;N5
667;れい;零;名;zero / nought;れい;;N5
668;れいぞうこ;冷蔵庫;名;refrigerator;れいぞうこ;;N5
669;レコード;;名;record;;;N5
670;レストラン;;名;restaurant;;レストラン;N5
671;れんしゅう;練習;名;practice;れんしゅう;;N5
672;ろく;六;名;six;ろく;;N5
673;ワイシャツ;;名;\"Y shirt\", business shirt;;ワイシャツ;N5
674;わかい;若い;形;young;わかい;;N5
675;わかる;分る;動I;to be understood;わかる;;N5
676;わすれる;忘れる;動I;to forget;わすれる;;N5
677;わたくし;私;代;I;わたくし;;N5
678;わたし;私;代;I;わたし;;N5
679;わたす;渡す;動I;to pass over, to hand over;わたす;;N5
680;わたる;渡る;動I;to cross over / to go across;わたる;;N5
681;わるい;悪い;形;bad / inferior;わるい;;N5
