course;number;created_at;hiragana;katakana;kanji;kana;german;pos;key;updated_at
A1.1;0;2019-02-21;ひよ;ヒョ;;;hyo;文字;;2019-07-07
A1.1;0;2019-02-21;みや;ミャ;;;mya;文字;;2019-07-07
A1.1;0;2019-02-21;みゆ;ミュ;;;myu;文字;;2019-07-07
A1.1;0;2019-02-21;みよ;ミョ;;;myo;文字;;2019-07-07
A1.1;0;2019-02-21;りや;リャ;;;rya;文字;;2019-07-07
A1.1;0;2019-02-21;りゆ;リュ;;;ryu;文字;;2019-07-07
A1.1;0;2019-02-21;りよ;リョ;;;ryo;文字;;2019-07-07
A1.1;0;2019-02-21;ぎや;ギャ;;;gya;文字;;2019-07-07
A1.1;0;2019-02-21;ぎゆ;ギュ;;;gyu;文字;;2019-07-07
A1.1;0;2019-02-21;ぎよ;ギョ;;;gyo;文字;;2019-07-07
A1.1;0;2019-02-21;じや;ジャ;;;zya;文字;;2019-07-07
A1.1;0;2019-02-21;じゆ;ジュ;;;zyu;文字;;2019-07-07
A1.1;0;2019-02-21;じよ;ジョ;;;zyo;文字;;2019-07-07
A1.1;0;2019-02-21;ぢゃ;ヂャ;;;dya;文字;;2019-07-07
A1.1;0;2019-02-21;ぢゅ;ヂュ;;;dyu;文字;;2019-07-07
A1.1;0;2019-02-21;ぢょ;ヂョ;;;dyo;文字;;2019-07-07
A1.1;0;2019-02-21;びや;ビャ;;;bya;文字;;2019-07-07
A1.1;0;2019-02-21;びゆ;ビュ;;;byu;文字;;2019-07-07
A1.1;0;2019-02-21;びよ;ビョ;;;byo;文字;;2019-07-07
A1.1;0;2019-02-21;ぴや;ピャ;;;pya;文字;;2019-07-07
A1.1;0;2019-02-21;ぴゆ;ピュ;;;pyu;文字;;2019-07-07
A1.1;0;2019-02-21;ぴよ;ピョ;;;pyo;文字;;2019-07-07
A1.1;1;2019-02-21;;;;<ruby><rb>愛</rb><rt>あい</rt></ruby>;Liebe;名;;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>家</rb><rt>いえ</rt></ruby>;Haus;名;;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>上</rb><rt>うえ</rt></ruby>;oben;副;;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>青</rb><rt>あお</rt></ruby>;blau;形;;2020-01-15
A1.1;1;2019-02-21;;;;はい;ja;副;;
A1.1;1;2019-02-21;;;;いいえ;nein;副;;
A1.1;1;2019-02-21;;;;<ruby><rb>授</rb><rt>じゅ</rt></ruby><ruby><rb>業</rb><rt>ぎょう</rt></ruby>;Unterricht;名;education;2020-01-15
A1.1;1;2019-02-21;;;;<ruby><rb>日</rb><rt>に</rt></ruby><ruby><rb>本</rb><rt>ほん</rt></ruby><ruby><rb>語</rb><rt>ご</rt></ruby>の　<ruby><rb>文</rb><rt>もじ</rt></ruby><ruby><rb>字</rb><rt></rt></ruby>;Japanische 文字n;名;japanese_letters;2020-01-15
A1.1;1;2019-02-21;;;;お<ruby><rb>楽</rb><rt>たの</rt></ruby>しみ;Vergnügen / Freude;名;joy;2020-01-15
